,year,mileage,S,SR,SV,SL,listed price,Accident,Past Owners,is_Personal_Use,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,first_color,second_color,Beige exterior,Black exterior,Blue exterior,Brown exterior,Gold exterior,Gray exterior,Green exterior,Maroon exterior,Red exterior,Silver exterior,Tan exterior,Teal exterior,Unknown exterior,White exterior, Beige interior, Black interior, Blue interior, Gray interior, Unknown interior
56,2011,125256,1,0,0,0,5277,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,White exterior, Black interior,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
57,2013,105158,1,0,0,0,7488,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gray exterior, Black interior,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
58,2014,61876,1,0,0,0,9807,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,White exterior, Black interior,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
59,2017,20307,1,0,0,0,11789,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,White exterior, Black interior,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
60,2015,115971,1,0,0,0,7995,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Black exterior, Black interior,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
61,2017,36650,1,0,0,0,12599,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Black exterior, Black interior,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
62,2006,203692,1,0,0,0,2995,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Green exterior, Beige interior,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
63,2013,96709,1,0,0,0,6916,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Black exterior, Black interior,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64,2015,83575,1,0,0,0,9982,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue exterior, Black interior,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
65,2009,92699,1,0,0,0,7300,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Gray exterior, Black interior,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
